,0,1,2,3
0,TOK,Uniswap (v2),TOK/ETH,$0.020.0000108389830852 ETH
1,BEVO,PancakeSwap (v2),BEVO/WBNB,$0.000.0000004468850517 WBNB
2,FIL,PancakeSwap (v2),FIL/WBNB,$69.070.232748857741226 WBNB
3,FIL,PancakeSwap (v2),FIL/USDT,$74.9674.6350246720419 USDT
4,CRB,Uniswap (v2),CRB/ETH,$1.700.0007512498252458 ETH
5,BCH,PancakeSwap (v2),BCH/WBNB,$620.292.12991398452709 WBNB
6,BCH,PancakeSwap (v2),BCH/BUSD,$898.03904.564506100541 BUSD
7,QBIT,PancakeSwap (v2),QBIT/WBNB,$0.000.000000091356106 WBNB
8,EOS,PancakeSwap (v2),EOS/WBNB,$4.820.0162248081826855 WBNB
9,EOS,PancakeSwap (v2),EOS/BUSD,$4.354.33432747617437 BUSD
10,EOS,PancakeSwap (v2),EOS/USDT,$4.144.12335504627902 USDT
11,WICK,Uniswap (v2),WICK/ETH,$0.000.0000000009660826 ETH
12,KNOCKERS,PancakeSwap (v2),KNOCKERS/WBNB,$0.000.0000000000184721 WBNB
13,DOGE,PancakeSwap (v2),DOGE/WBNB,$0.340.0011275436008238 WBNB
14,DOGE,PancakeSwap (v2),DOGE/BUSD,$0.330.330619583041934 BUSD
15,DOGE,PancakeSwap (v2),DOGE/USDT,$0.340.33559531947998 USDT
16,FFF,Uniswap (v2),FFF/ETH,$78.930.034492437872295 ETH
17,SNOGE,Uniswap (v2),SNOGE/ETH,$0.070.0000306881071776 ETH
18,FFA,PancakeSwap (v2),FFA/BUSD,$0.130.133965169866935 BUSD
19,FFA,PancakeSwap (v2),FFA/WBNB,$0.120.0004215113591097 WBNB
20,FFA,PancakeSwap (v2),FFA/USDT,$0.140.143683708962592 USDT
21,SAHU,Uniswap (v2),SAHU/ETH,$0.000.0000000000000062 ETH
22,SAFESUN,PancakeSwap (v2),SAFESUN/WBNB,$0.000.0000000225322221 WBNB
23,SABAKA INU,PancakeSwap (v2),SABAKA INU...,$0.000.0000000000090569 WBNB
24,FETCH,PancakeSwap (v2),FETCH/WBNB,* $0.000.000000000016526 WBNB
25,KAIINU,PancakeSwap (v2),KAIINU/WBNB,$0.000.0000000000075014 WBNB
26,PAMP,Uniswap (v2),PAMP/ETH,$0.000.0000000061381424 ETH
27,METAMOON,PancakeSwap (v2),METAMOON/WBNB,$0.000.0000000000535525 WBNB
28,METAMOON,PancakeSwap (v2),METAMOON/BUSD,$0.000.0000000156736457 BUSD
29,WOLFY,Uniswap (v2),WOLFY/ETH,$0.010.0000029139390043 ETH
30,BAT,PancakeSwap (v2),BAT/WBNB,$0.000.0000000000112856 WBNB
31,BAT,PancakeSwap (v2),BAT/USDT,* $0.000.0000000277980168 USDT
32,BSOCIAL,Uniswap (v2),BSOCIAL/ETH,$0.000.000000002466192 ETH
33,REDPANDA,Uniswap (v2),REDPANDA/ETH,$0.000.0000000000000041 ETH
34,APES,Uniswap (v2),APES/ETH,$0.000.0000006537787736 ETH
35,VRT,PancakeSwap (v2),VRT/WBNB,$0.000.0000142228354579 WBNB
36,VRT,PancakeSwap (v2),VRT/BUSD,$0.000.0038290623969913 BUSD
37,VRT,PancakeSwap (v2),VRT/USDT,$0.000.0048436395240489 USDT
38,GTON,Sushiswap,GTON/ETH,$6.270.0027390141052376 ETH
39,GTON,PancakeSwap (v2),GTON/BUSD,$6.466.45614960345964 BUSD
40,JGBP,Sushiswap,JGBP/ETH,$1.180.0006041491014647 ETH
41,JEUR,Sushiswap,JEUR/ETH,$1.230.0005869927375202 ETH
42,ORANGE,PancakeSwap (v2),ORANGE/WBNB,$0.000.0000000000127911 WBNB
43,CWAP,Uniswap (v2),CWAP/ETH,$2.240.0009865542066597 ETH
44,NTVRK,Uniswap (v2),NTVRK/ETH,$0.380.0001680019091701 ETH
45,DOP,Uniswap (v2),DOP/ETH,$0.800.0003544976925506 ETH
46,LUX,Uniswap (v2),LUX/ETH,$0.160.0000770319709111 ETH
47,XAI,Sushiswap,XAI/ETH,$0.180.000077085612606 ETH
48,TATA,PancakeSwap (v2),TATA/WBNB,$0.000.0000000000197784 WBNB
49,TCGCOIN,PancakeSwap (v2),TCGCOIN/WBNB,* $0.000.0000000000052456 WBNB
50,FLTY,PancakeSwap (v2),FLTY/WBNB,$0.160.0005441640638499 WBNB
51,FLTY,PancakeSwap (v2),FLTY/BUSD,$0.130.135141469284357 BUSD
52,AQUA,PancakeSwap (v2),AQUA/WBNB,$162.970.548843391084128 WBNB
53,WNTR,PancakeSwap (v2),WNTR/WBNB,* $0.010.0000193837856639 WBNB
54,BS1,Uniswap (v2),BS1/ETH,$0.010.0000029778123204 ETH
55, HBX,PancakeSwap (v2),HBX/WBNB,* $0.010.0000221930686685 WBNB
56,HOTCROSS,PancakeSwap (v2),HOTCROSS/WBNB,$0.230.0007740270108075 WBNB
57,HOTCROSS,PancakeSwap (v2),HOTCROSS/BUSD,$0.120.123093373257853 BUSD
58,ORION,PancakeSwap (v2),ORION/WBNB,$0.000.0000000000089121 WBNB
59,TAMA,PancakeSwap (v2),TAMA/WBNB,$0.000.0000000000055514 WBNB
60,INFLEX,PancakeSwap (v2),INFLEX/WBNB,$0.000.0000000000020813 WBNB
61,SAFERMOON,PancakeSwap (v2),SAFERMOON/...,$0.000.0000000221135193 BUSD
62,SAFERMOON,PancakeSwap (v2),SAFERMOON/...,* $0.000.0000000000770656 WBNB
63,KIMJ,PancakeSwap (v2),KIMJ/WBNB,$0.000.0000000000164853 WBNB
64,XKI,Uniswap (v2),XKI/ETH,$0.160.0000711751462939 ETH
65,APRIL,PancakeSwap (v2),APRIL/BUSD,$0.010.0080168668042278 BUSD
66,APRIL,PancakeSwap (v2),APRIL/WBNB,* $0.010.0000309873862401 WBNB
67,BND,Uniswap (v2),BND/ETH,$4.150.0018085913507984 ETH
68,BLAST,PancakeSwap (v2),BLAST/WBNB,$0.000.0000000000231486 WBNB
69,CLU,PancakeSwap (v2),CLU/WBNB,$0.000.0000000006712257 WBNB
70,CLU,PancakeSwap (v2),CLU/USDT,$0.000.0000001938342127 USDT
71,CLU,PancakeSwap (v2),CLU/BUSD,$0.000.0000001982564527 BUSD
72,CORA,Uniswap (v2),CORA/ETH,$14.810.0069226217165 ETH
73,LOGE,PancakeSwap (v2),LOGE/WBNB,$0.000.0000000000045561 WBNB
74,BGO,PancakeSwap (v2),BGO/BUSD,$0.470.469624502387801 BUSD
75,BGO,PancakeSwap (v2),BGO/WBNB,$0.470.0015801468586919 WBNB
76,SPACE,PancakeSwap (v2),SPACE/BUSD,$0.040.0378410315689277 BUSD
77,SPACE,PancakeSwap (v2),SPACE/WBNB,$0.040.0001444294522061 WBNB
78,GDEFI,Uniswap (v2),GDEFI/ETH,$1.590.0007416327703155 ETH
79,TONE,PancakeSwap (v2),TONE/WBNB,$0.000.0000000000074921 WBNB
80,CHIBA,PancakeSwap (v2),CHIBA/WBNB,$0.000.000000000001888 WBNB
81,RENA,Uniswap (v2),RENA/ETH,$1.050.0004610458602844 ETH
82,GUH,PancakeSwap (v2),GUH/WBNB,$0.010.0000389312584491 WBNB
83,MMON,PancakeSwap (v2),MMON/WBNB,$0.010.0000519218094087 WBNB
84,GMT,Sushiswap,GMT/ETH,$0.130.0000580362563395 ETH
